Company,Sector,Sub_Sector,Market_Cap,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PE_FY1,PE_FY2,PE_FY3,EBITDA_FY0,EBITDA_FY1,EBITDA_FY2,EBITDA_FY3,EBITDA_Margin_FY0,EBITDA_Margin_FY1,EBITDA_Margin_FY2,EBITDA_Margin_FY3,Rev_G_FY1,Rev_G_FY2,Rev_G_FY3,Rev_G_CAGR2,Rev_G_CAGR3,EBITDA_G_FY1,EBITDA_G_FY2,EBITDA_G_FY3,EBITDA_G_CAGR2,EBITDA_G_CAGR3,EPS_G_FY1,EPS_G_FY2,EPS_G_FY3,EPS_G_CAGR2,EPS_G_CAGR3,PE_Avg2,PE_Avg3,PB_FY0,PB_FY1,PB_FY2,PB_FY3,PB_Avg2,PB_Avg3,PS_FY0,PS_FY1,PS_FY2,PS_FY3,PS_Avg2,PS_Avg3,EBITDA_MExp_FY1,EBITDA_MExp_FY2,EBITDA_MExp_FY3,EBITDA_Margin_CAGR2,EBITDA_Margin_CAGR3,PAT_Margin_FY0,PAT_Margin_FY1,PAT_Margin_FY2,PAT_Margin_FY3,PAT_MExp_FY1,PAT_MExp_FY2,PAT_MExp_FY3,PAT_Margin_CAGR2,PAT_Margin_CAGR3,Sub_Sector_Med_MCap_INR_crs,Sub_Sector_Med_EPS_FY0,Sub_Sector_Med_EPS_FY1,Sub_Sector_Med_EPS_FY2,Sub_Sector_Med_EPS_FY3,Sub_Sector_Med_Revenue_FY0,Sub_Sector_Med_Revenue_FY1,Sub_Sector_Med_Revenue_FY2,Sub_Sector_Med_Revenue_FY3,Sub_Sector_Med_BVPS_FY0,Sub_Sector_Med_BVPS_FY1,Sub_Sector_Med_BVPS_FY2,Sub_Sector_Med_BVPS_FY3,Sub_Sector_Med_PAT_FY0,Sub_Sector_Med_PAT_FY1,Sub_Sector_Med_PAT_FY2,Sub_Sector_Med_PAT_FY3,Sub_Sector_Med_PE_FY0,Sub_Sector_Med_PE_FY1,Sub_Sector_Med_PE_FY2,Sub_Sector_Med_PE_FY3,Sub_Sector_Med_EBITDA_FY0,Sub_Sector_Med_EBITDA_FY1,Sub_Sector_Med_EBITDA_FY2,Sub_Sector_Med_EBITDA_FY3,Sub_Sector_Med_EBITDA_Margin_FY0,Sub_Sector_Med_EBITDA_Margin_FY1,Sub_Sector_Med_EBITDA_Margin_FY2,Sub_Sector_Med_EBITDA_Margin_FY3,Sub_Sector_Med_Rev_G_FY1,Sub_Sector_Med_Rev_G_FY2,Sub_Sector_Med_Rev_G_FY3,Sub_Sector_Med_Rev_G_CAGR2,Sub_Sector_Med_Rev_G_CAGR3,Sub_Sector_Med_EBITDA_G_FY1,Sub_Sector_Med_EBITDA_G_FY2,Sub_Sector_Med_EBITDA_G_FY3,Sub_Sector_Med_EBITDA_G_CAGR2,Sub_Sector_Med_EBITDA_G_CAGR3,Sub_Sector_Med_EPS_G_FY1,Sub_Sector_Med_EPS_G_FY2,Sub_Sector_Med_EPS_G_FY3,Sub_Sector_Med_EPS_G_CAGR2,Sub_Sector_Med_EPS_G_CAGR3,Sub_Sector_Med_CMP_BHAV,Sub_Sector_Med_PE_Avg2,Sub_Sector_Med_PE_Avg3,Sub_Sector_Med_PB_FY0,Sub_Sector_Med_PB_FY1,Sub_Sector_Med_PB_FY2,Sub_Sector_Med_PB_FY3,Sub_Sector_Med_PB_Avg2,Sub_Sector_Med_PB_Avg3,Sub_Sector_Med_PS_FY0,Sub_Sector_Med_PS_FY1,Sub_Sector_Med_PS_FY2,Sub_Sector_Med_PS_FY3,Sub_Sector_Med_PS_Avg2,Sub_Sector_Med_PS_Avg3,Sub_Sector_Med_EBITDA_MExp_FY1,Sub_Sector_Med_EBITDA_MExp_FY2,Sub_Sector_Med_EBITDA_MExp_FY3,Sub_Sector_Med_EBITDA_Margin_CAGR2,Sub_Sector_Med_EBITDA_Margin_CAGR3,Sub_Sector_Med_PAT_Margin_FY0,Sub_Sector_Med_PAT_Margin_FY1,Sub_Sector_Med_PAT_Margin_FY2,Sub_Sector_Med_PAT_Margin_FY3,Sub_Sector_Med_PAT_MExp_FY1,Sub_Sector_Med_PAT_MExp_FY2,Sub_Sector_Med_PAT_MExp_FY3,Sub_Sector_Med_PAT_Margin_CAGR2,Sub_Sector_Med_PAT_Margin_CAGR3
HDFC BANK,BANKS,LARGE PRIVATE BANKS,LARGE CAP,HDFCBANK,779.8,1199211.0,48.4,54.44,63.26,72.45,191218.6,206691.8,236926.0,267720.7,366.04,403.34,511.46,452.24,74671.29,84036.16,97763.33,114750.2,16.11,14.33,12.33,10.76,118668.3,125643.8,146126.6,162710.3,0.62,0.61,0.62,0.61,8.09,14.63,13.0,11.31,11.87,5.88,16.3,11.35,10.97,11.09,12.47,16.21,14.53,14.33,14.39,13.33,12.47,2.13,1.93,1.52,1.72,1.73,1.73,6.27,5.8,5.06,4.48,5.43,5.11,-1.27,0.89,-0.9,-0.31,-0.69,0.39,0.41,0.41,0.43,1.61,0.61,1.6,2.79,3.15,404073.4,48.4,54.44,70.96,98.9,54347.82,77921.9,90874.77,114346.0,471.18,531.92,693.13,607.64,24456.66,31236.98,37135.77,44897.82,19.46,17.06,13.35,10.76,42816.81,52854.04,57751.39,68149.23,0.74,0.65,0.64,0.61,25.98,14.63,13.55,20.15,18.75,15.05,14.97,18.0,15.01,16.76,18.45,17.08,17.47,17.76,17.67,947.45,15.95,14.54,2.13,1.93,1.52,1.72,1.73,1.73,7.43,5.8,5.06,4.48,5.43,5.11,-7.05,0.29,-0.9,-4.27,-1.04,0.45,0.41,0.41,0.43,-3.49,0.63,1.6,-3.12,-0.26
ICICI BANK,BANKS,LARGE PRIVATE BANKS,LARGE CAP,ICICIBANK,1346.5,917153.3,69.2,78.92,90.8,103.2,88075.23,110957.8,127137.1,147474.3,471.18,531.92,693.13,607.64,50146.64,56924.98,64731.24,73992.03,19.46,17.06,14.83,13.05,71598.87,82376.04,94709.04,108169.5,0.81,0.74,0.74,0.73,25.98,14.58,16.0,20.15,18.75,15.05,14.97,14.21,15.01,14.74,14.05,15.06,13.65,14.55,14.25,15.95,14.98,2.86,2.53,1.94,2.22,2.24,2.23,10.41,8.27,7.21,6.22,7.74,7.23,-7.05,0.25,-1.15,-4.27,-3.37,0.57,0.51,0.51,0.5,-5.63,-0.39,-0.74,-5.44,-4.13,404073.4,48.4,54.44,70.96,98.9,54347.82,77921.9,90874.77,114346.0,471.18,531.92,693.13,607.64,24456.66,31236.98,37135.77,44897.82,19.46,17.06,13.35,10.76,42816.81,52854.04,57751.39,68149.23,0.74,0.65,0.64,0.61,25.98,14.63,13.55,20.15,18.75,15.05,14.97,18.0,15.01,16.76,18.45,17.08,17.47,17.76,17.67,947.45,15.95,14.54,2.13,1.93,1.52,1.72,1.73,1.73,7.43,5.8,5.06,4.48,5.43,5.11,-7.05,0.29,-0.9,-4.27,-1.04,0.45,0.41,0.41,0.43,-3.49,0.63,1.6,-3.12,-0.26
KOTAK MAHINDRA BANK,BANKS,LARGE PRIVATE BANKS,LARGE CAP,KOTAKBANK,399.25,386570.9,14.09,16.69,19.54,22.95,30010.07,38408.49,44510.39,50539.51,,150.36,191.42,168.89,14007.7,16586.84,19501.07,23409.57,28.34,23.92,20.43,17.39,22066.9,24968.43,29119.57,36009.64,0.74,0.65,0.65,0.71,27.99,15.89,13.55,21.79,18.97,13.15,16.63,23.66,14.87,17.73,18.45,17.08,17.47,17.76,17.67,22.18,20.58,,2.66,2.09,2.36,2.37,2.37,12.88,10.06,8.68,7.65,9.37,8.8,-8.52,0.41,5.83,-5.68,-1.04,0.47,0.43,0.44,0.46,-3.49,0.63,2.51,-3.12,-0.26,404073.4,48.4,54.44,70.96,98.9,54347.82,77921.9,90874.77,114346.0,471.18,531.92,693.13,607.64,24456.66,31236.98,37135.77,44897.82,19.46,17.06,13.35,10.76,42816.81,52854.04,57751.39,68149.23,0.74,0.65,0.64,0.61,25.98,14.63,13.55,20.15,18.75,15.05,14.97,18.0,15.01,16.76,18.45,17.08,17.47,17.76,17.67,947.45,15.95,14.54,2.13,1.93,1.52,1.72,1.73,1.73,7.43,5.8,5.06,4.48,5.43,5.11,-7.05,0.29,-0.9,-4.27,-1.04,0.45,0.41,0.41,0.43,-3.49,0.63,1.6,-3.12,-0.26
AXIS BANK,BANKS,LARGE PRIVATE BANKS,LARGE CAP,AXISBANK,1357.9,404073.4,78.31,100.87,120.05,141.7,54347.82,77921.9,90874.77,114346.0,,754.43,1017.55,871.98,24456.66,31236.98,37135.77,44897.82,17.34,13.46,11.31,9.58,42816.81,52854.04,57751.39,68149.23,0.79,0.68,0.64,0.6,43.38,16.62,25.83,29.31,28.14,23.44,9.27,18.0,16.14,16.76,28.81,19.02,18.03,23.82,21.86,12.39,11.45,,1.8,1.33,1.56,1.57,1.56,7.43,5.19,4.45,3.53,4.82,4.39,-10.95,-4.28,-3.95,-10.19,-8.88,0.45,0.4,0.41,0.39,-4.91,0.78,-1.6,-4.71,-4.44,404073.4,48.4,54.44,70.96,98.9,54347.82,77921.9,90874.77,114346.0,471.18,531.92,693.13,607.64,24456.66,31236.98,37135.77,44897.82,19.46,17.06,13.35,10.76,42816.81,52854.04,57751.39,68149.23,0.74,0.65,0.64,0.61,25.98,14.63,13.55,20.15,18.75,15.05,14.97,18.0,15.01,16.76,18.45,17.08,17.47,17.76,17.67,947.45,15.95,14.54,2.13,1.93,1.52,1.72,1.73,1.73,7.43,5.8,5.06,4.48,5.43,5.11,-7.05,0.29,-0.9,-4.27,-1.04,0.45,0.41,0.41,0.43,-3.49,0.63,1.6,-3.12,-0.26
INDUSIND BANK,BANKS,LARGE PRIVATE BANKS,MID CAP,INDUSINDBK,947.45,72636.49,11.98,45.81,70.96,98.9,25199.38,27180.25,30929.47,34817.63,839.94,868.27,1050.0,933.86,933.33,3579.86,5567.26,7711.48,79.09,20.68,13.35,9.58,9202.21,11982.03,13724.7,20200.58,0.37,0.44,0.44,0.58,7.86,13.79,12.57,10.79,11.38,30.21,14.54,47.18,22.13,29.96,282.41,54.9,39.37,143.38,102.11,17.02,14.54,1.13,1.09,0.9,1.01,1.0,1.0,2.88,2.67,2.35,2.09,2.51,2.37,7.57,0.29,13.64,10.23,16.69,0.04,0.13,0.18,0.22,9.47,4.83,4.15,120.45,81.51,404073.4,48.4,54.44,70.96,98.9,54347.82,77921.9,90874.77,114346.0,471.18,531.92,693.13,607.64,24456.66,31236.98,37135.77,44897.82,19.46,17.06,13.35,10.76,42816.81,52854.04,57751.39,68149.23,0.74,0.65,0.64,0.61,25.98,14.63,13.55,20.15,18.75,15.05,14.97,18.0,15.01,16.76,18.45,17.08,17.47,17.76,17.67,947.45,15.95,14.54,2.13,1.93,1.52,1.72,1.73,1.73,7.43,5.8,5.06,4.48,5.43,5.11,-7.05,0.29,-0.9,-4.27,-1.04,0.45,0.41,0.41,0.43,-3.49,0.63,1.6,-3.12,-0.26
IDFC FIRST BANK,BANKS,MID & SMALL PRIVATE BANKS,MID CAP,IDFCFIRSTB,78.68,60465.79,1.91,4.25,6.41,8.88,29088.56,34986.84,38149.16,48455.35,,57.9,72.92,63.76,1636.36,3689.79,5596.23,7707.82,41.19,18.52,12.28,8.86,7211.36,10703.94,14085.43,17752.2,0.25,0.31,0.37,0.37,20.28,9.04,27.02,14.52,18.54,48.43,31.59,26.03,39.76,35.02,122.41,50.82,38.63,83.15,66.91,15.4,13.22,,1.36,1.08,1.23,1.22,1.22,2.08,1.73,1.58,1.25,1.66,1.52,5.8,6.33,-0.29,22.04,13.9,0.06,0.11,0.15,0.16,4.92,4.12,1.24,61.48,41.41,18881.93,17.2,20.61,24.14,28.53,7022.87,10420.83,12375.8,18931.03,153.43,173.83,216.41,197.36,1390.44,1942.78,2934.7,4147.84,11.13,9.82,8.56,8.11,3145.67,4062.53,4722.97,5852.35,0.43,0.4,0.42,0.41,16.09,14.08,12.82,15.01,14.6,19.2,18.94,7.13,18.64,16.42,22.0,19.06,21.12,20.52,27.67,208.09,9.19,8.6,1.3,1.21,1.04,1.08,1.12,1.08,2.24,2.05,1.81,1.63,1.93,1.88,-0.25,1.39,-1.42,-0.02,-1.38,0.22,0.25,0.26,0.27,0.7,1.46,1.58,2.69,7.92
YES BANK,BANKS,MID & SMALL PRIVATE BANKS,MID CAP,YESBANK,25.41,71653.98,1.11,1.39,1.76,2.31,16534.98,18946.06,22059.79,24887.6,16.27,17.64,21.48,19.24,3475.59,4465.48,5649.9,7241.27,22.89,18.27,14.45,11.0,4594.0,7050.4,9023.44,11827.83,0.28,0.37,0.41,0.48,14.58,16.43,12.82,15.5,14.6,53.47,27.98,31.08,40.15,37.06,25.32,26.38,31.4,25.85,27.67,16.36,14.57,1.56,1.44,1.18,1.32,1.31,1.31,4.33,3.78,3.25,2.88,3.52,3.3,9.43,3.69,6.62,21.34,19.59,0.21,0.24,0.26,0.29,2.55,2.04,3.48,10.38,11.45,18881.93,17.2,20.61,24.14,28.53,7022.87,10420.83,12375.8,18931.03,153.43,173.83,216.41,197.36,1390.44,1942.78,2934.7,4147.84,11.13,9.82,8.56,8.11,3145.67,4062.53,4722.97,5852.35,0.43,0.4,0.42,0.41,16.09,14.08,12.82,15.01,14.6,19.2,18.94,7.13,18.64,16.42,22.0,19.06,21.12,20.52,27.67,208.09,9.19,8.6,1.3,1.21,1.04,1.08,1.12,1.08,2.24,2.05,1.81,1.63,1.93,1.88,-0.25,1.39,-1.42,-0.02,-1.38,0.22,0.25,0.26,0.27,0.7,1.46,1.58,2.69,7.92
BANDHAN BANK,BANKS,MID & SMALL PRIVATE BANKS,SMALL CAP,BANDHANBNK,208.09,32284.79,7.59,17.03,21.61,26.04,13563.71,15616.71,17641.61,19781.93,158.75,173.25,216.41,190.26,1223.56,2717.58,3469.22,4326.32,27.42,12.22,9.63,7.99,5864.92,6262.95,7402.24,8205.38,0.43,0.4,0.42,0.41,15.14,12.97,12.13,14.05,13.4,6.79,18.19,10.85,12.34,11.84,124.35,26.93,20.48,68.75,50.82,10.92,9.95,1.31,1.2,0.96,1.09,1.08,1.09,2.38,2.07,1.83,1.63,1.95,1.84,-3.14,1.85,-0.48,-1.49,-1.38,0.09,0.17,0.2,0.22,8.38,2.26,2.21,47.65,34.34,18881.93,17.2,20.61,24.14,28.53,7022.87,10420.83,12375.8,18931.03,153.43,173.83,216.41,197.36,1390.44,1942.78,2934.7,4147.84,11.13,9.82,8.56,8.11,3145.67,4062.53,4722.97,5852.35,0.43,0.4,0.42,0.41,16.09,14.08,12.82,15.01,14.6,19.2,18.94,7.13,18.64,16.42,22.0,19.06,21.12,20.52,27.67,208.09,9.19,8.6,1.3,1.21,1.04,1.08,1.12,1.08,2.24,2.05,1.81,1.63,1.93,1.88,-0.25,1.39,-1.42,-0.02,-1.38,0.22,0.25,0.26,0.27,0.7,1.46,1.58,2.69,7.92
FEDERAL BANK,BANKS,MID & SMALL PRIVATE BANKS,MID CAP,FEDERALBNK,323.95,71546.18,16.56,20.06,23.55,28.53,10657.41,15681.47,18033.9,22293.53,157.02,176.49,224.71,197.54,4117.32,5106.39,6225.64,7868.98,19.56,16.15,13.75,11.36,7206.2,8075.16,9692.47,11664.73,0.68,0.51,0.54,0.52,47.14,15.0,23.62,30.08,27.89,12.06,20.03,20.35,15.97,17.41,21.16,17.39,21.12,19.26,19.88,14.95,13.75,2.06,1.84,1.44,1.64,1.64,1.64,6.71,4.56,3.97,3.21,4.26,3.91,-16.12,2.25,-1.42,-10.85,-8.19,0.39,0.33,0.35,0.35,-6.07,1.96,0.78,-5.47,-2.97,18881.93,17.2,20.61,24.14,28.53,7022.87,10420.83,12375.8,18931.03,153.43,173.83,216.41,197.36,1390.44,1942.78,2934.7,4147.84,11.13,9.82,8.56,8.11,3145.67,4062.53,4722.97,5852.35,0.43,0.4,0.42,0.41,16.09,14.08,12.82,15.01,14.6,19.2,18.94,7.13,18.64,16.42,22.0,19.06,21.12,20.52,27.67,208.09,9.19,8.6,1.3,1.21,1.04,1.08,1.12,1.08,2.24,2.05,1.81,1.63,1.93,1.88,-0.25,1.39,-1.42,-0.02,-1.38,0.22,0.25,0.26,0.27,0.7,1.46,1.58,2.69,7.92
RBL BANK,BANKS,MID & SMALL PRIVATE BANKS,SMALL CAP,RBLBANK,378.85,21313.81,13.18,18.82,27.55,43.61,10480.94,13093.64,15984.59,18931.03,,288.7,362.88,312.58,822.44,1942.78,2934.7,3969.36,28.74,20.13,13.75,8.69,3299.15,4584.71,5462.84,5852.35,0.31,0.35,0.34,0.31,24.93,22.08,18.43,23.5,21.78,38.97,19.15,7.13,28.68,21.05,42.8,46.36,58.3,44.57,49.01,16.94,14.19,,1.31,1.04,1.21,1.18,1.19,2.03,1.63,1.33,1.13,1.48,1.36,3.54,-0.84,-3.26,4.2,-0.6,0.08,0.15,0.18,0.21,6.99,3.52,2.61,52.96,38.77,18881.93,17.2,20.61,24.14,28.53,7022.87,10420.83,12375.8,18931.03,153.43,173.83,216.41,197.36,1390.44,1942.78,2934.7,4147.84,11.13,9.82,8.56,8.11,3145.67,4062.53,4722.97,5852.35,0.43,0.4,0.42,0.41,16.09,14.08,12.82,15.01,14.6,19.2,18.94,7.13,18.64,16.42,22.0,19.06,21.12,20.52,27.67,208.09,9.19,8.6,1.3,1.21,1.04,1.08,1.12,1.08,2.24,2.05,1.81,1.63,1.93,1.88,-0.25,1.39,-1.42,-0.02,-1.38,0.22,0.25,0.26,0.27,0.7,1.46,1.58,2.69,7.92
